id_noticia,fuente,url,categoria_busqueda
N032,Cooperativa,https://www.cooperativa.cl/noticias/pais/policial/robos/cuatro-detenidos-dejo-millonario-robo-a-bodega-en-pudahuel/2026-08-04/073509.html,Crimen y seguridad
N033,Cooperativa,https://www.cooperativa.cl/noticias/pais/policial/dos-detenidos-por-intento-de-robo-en-jardin-infantil-clausurado-en/2026-08-15/123644.html,Crimen y seguridad
N034,BioBioChile,https://www.biobiochile.cl/noticias/nacional/chile/2026/08/24/ministro-arrau-destaca-caida-de-cifras-de-homicidios-pero-advierte-que-no-hay-exitismos.shtml,Crimen y seguridad
N035,Cooperativa,https://www.cooperativa.cl/noticias/pais/region-de-antofagasta/aluvion-en-tocopilla-reportan-tres-personas-desaparecidas/2026-08-18/130459.html,Desastres naturales y emergencias
N036,Cooperativa,https://www.cooperativa.cl/noticias/pais/region-de-antofagasta/vecinos-registraron-fuerza-del-aluvion-que-afecto-a-tocopilla/2026-08-18/134033.html,Desastres naturales y emergencias
N037,Cooperativa,https://www.cooperativa.cl/noticias/pais/desastres-naturales/damnificados-por-los-aluviones-entre-el-barro-que-se-endurece-y-la/2026-08-20/132418.html,Desastres naturales y emergencias
N038,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2026/09/06/incendio-afecta-a-casona-ubicada-en-el-cerro-cordillera-en-valparaiso.shtml,Incendios y emergencias
N039,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2026/09/15/al-menos-una-casa-destruida-deja-incendio-en-sector-playa-ancha-de-valparaiso.shtml,Incendios y emergencias
N040,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2026/08/05/gigantesco-incendio-en-empresa-de-quilicura-supera-las-10-horas-de-combate-hay-clases-suspendidas.shtml,Incendios y emergencias
N041,Emol,https://www.emol.com/noticias/Nacional/2026/08/05/1207620/fotos-incendio-quilicura-empresa-quimicos.html,Incendios y emergencias
N042,Emol,https://www.emol.com/noticias/Nacional/2026/08/05/1207656/incendio-empresa-quilicura-delegado-codina.html,Incendios y emergencias
N043,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2026/08/06/dos-muertos-y-nueve-damnificados-deja-incendio-de-viviendas-en-hualqui-victimas-serian-madre-e-hijo.shtml,Incendios y emergencias
N044,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2026/08/05/dalcahue-voraz-incendio-deja-una-persona-fallecida-dos-cinco-damnificados-y-dos-bomberos-lesionados.shtml,Incendios y emergencias
N045,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2026/08/28/una-persona-muerta-deja-incendio-de-una-vivienda-en-sector-los-naranjos-de-santa-barbara.shtml,Incendios y emergencias
N046,Emol,https://www.emol.com/noticias/Economia/2026/08/28/1209827/desempleo-en-chile-informalidad.html,Economía y empleo
N047,Emol,https://www.emol.com/noticias/Economia/2026/09/07/1210735/mercado-laboral-empleo-desempleo.html,Economía y empleo
N048,BioBioChile,https://www.biobiochile.cl/noticias/economia/actualidad-economica/2026/09/08/gobierno-apunta-a-efecto-de-bencinas-y-lluvias-en-el-ipc-reconoce-impacto-al-bolsillo-de-las-familias.shtml,Economía
N049,BioBioChile,https://www.biobiochile.cl/noticias/economia/actualidad-economica/2026/09/09/banco-central-alerta-sobre-debilidad-economica-de-chile-y-recorta-con-fuerza-proyeccion-de-crecimiento.shtml,Economía
N050,BioBioChile,https://www.biobiochile.cl/noticias/economia/actualidad-economica/2026/09/15/gobierno-prepara-plan-urgente-para-frenar-el-alza-del-desempleo-y-surgen-criticas-a-posible-fast-track.shtml,Economía y empleo
